instance_name,family,num_scenarios,n_x,n_y,n_recourse_rows,xi_dim,nnz_T,nnz_W,nnz_H,selected_scenario,initial_cost_gap,raw_model_num_vars,raw_model_num_linear_constraints,raw_model_num_sos,raw_model_num_binary_vars,status,has_incumbent,runtime_sec,objective_gamma,best_bound,mip_gap,node_count,simplex_iterations,barrier_iterations,true_gap_at_returned_xi,max_row_sos_pair_min_abs,max_variable_sos_pair_min_abs,star_KKT_obj_minus_independent_LP,time_limit_sec,target_mip_gap,threads,seed,PreSOS1BigM
lands_instance_small_1_1_1,small,10,4,12,7,7,4,24,3,scenario_1,2.993823615196675,64,41,19,0,OPTIMAL,True,0.01726222038269043,0.1624781634824548,0.1624781634824548,0.0,63.0,103.0,0,7.105427357601002e-15,0.0,0.0,7.105427357601002e-15,300.0,0.0001,1,1,0
lands_instance_small_1_1_2,small,10,4,12,7,7,4,24,3,scenario_2,20.74534721134478,64,41,19,0,OPTIMAL,True,0.012139081954956055,0.6219094593607208,0.6219094593607208,0.0,43.0,110.0,0,1.1368683772161603e-13,0.0,0.0,0.0,300.0,0.0001,1,1,0
lands_instance_small_1_1_3,small,10,4,12,7,7,4,24,3,scenario_1,19.447817206205514,64,41,19,0,OPTIMAL,True,0.005905866622924805,1.2395877206175294,1.2395877206175294,0.0,53.0,91.0,0,-1.4210854715202004e-14,0.0,0.0,0.0,300.0,0.0001,1,1,0
lands_instance_small_1_1_4,small,10,4,12,7,7,4,24,3,scenario_2,74.93392262818048,64,41,19,0,OPTIMAL,True,0.011973142623901367,1.6457633735923527,1.6457633735923527,0.0,143.0,245.0,0,-1.7053025658242404e-13,0.0,0.0,-5.684341886080802e-14,300.0,0.0001,1,1,0
lands_instance_small_1_1_5,small,10,4,12,7,7,4,24,3,scenario_1,56.05535667688309,64,41,19,0,OPTIMAL,True,0.005807161331176758,0.990050172588429,0.990050172588429,0.0,85.0,145.0,0,2.842170943040401e-14,0.0,0.0,0.0,300.0,0.0001,1,1,0
lands_instance_small_2_1_1,small,10,6,30,11,11,6,60,5,scenario_1,2.118559695460931,134,75,41,0,OPTIMAL,True,0.021219968795776367,0.117810413199117,0.117810413199117,0.0,437.0,868.0,0,0.0,0.0,0.0,0.0,300.0,0.0001,1,1,0
lands_instance_small_2_1_2,small,10,6,30,11,11,6,60,5,scenario_1,17.45853235324239,134,75,41,0,OPTIMAL,True,0.021136999130249023,0.654172483860887,0.654172483860887,0.0,335.0,677.0,0,0.0,0.0,0.0,0.0,300.0,0.0001,1,1,0
lands_instance_small_2_1_3,small,10,6,30,11,11,6,60,5,scenario_2,118.08506727113974,134,75,41,0,OPTIMAL,True,0.06341099739074707,4.082590769856582,4.082590769856582,0.0,2619.0,5639.0,0,-5.684341886080802e-14,0.0,0.0,0.0,300.0,0.0001,1,1,0
lands_instance_small_2_1_4,small,10,6,30,11,11,6,60,5,scenario_1,24.271476955380706,134,75,41,0,OPTIMAL,True,0.032723188400268555,0.6741089454026663,0.6741089454026663,0.0,1160.0,2130.0,0,-2.842170943040401e-14,0.0,0.0,0.0,300.0,0.0001,1,1,0
lands_instance_small_2_1_5,small,10,6,30,11,11,6,60,5,scenario_2,87.28925915503555,134,75,41,0,OPTIMAL,True,0.051078081130981445,2.833528795104608,2.833528795104608,0.0,1674.0,3692.0,0,5.684341886080802e-14,0.0,0.0,0.0,300.0,0.0001,1,1,0
lands_instance_small_3_1_1,small,10,8,48,14,14,8,96,6,scenario_1,42.767470525380986,200,105,62,0,OPTIMAL,True,0.16968202590942383,3.4086197909978475,3.4086197909978475,0.0,6701.0,12571.0,0,2.842170943040401e-14,0.0,0.0,0.0,300.0,0.0001,1,1,0
lands_instance_small_3_1_2,small,10,8,48,14,14,8,96,6,scenario_2,39.32746976496321,200,105,62,0,OPTIMAL,True,0.1147160530090332,0.6814441471791421,0.6814441471791421,0.0,2955.0,7714.0,0,0.0,0.0,0.0,0.0,300.0,0.0001,1,1,0
lands_instance_small_3_1_3,small,10,8,48,14,14,8,96,6,scenario_1,79.04112894915659,200,105,62,0,OPTIMAL,True,0.20298385620117188,1.370724447294196,1.370724447294196,0.0,7581.0,19284.0,0,0.0,0.0,0.0,0.0,300.0,0.0001,1,1,0
lands_instance_small_3_1_4,small,10,8,48,14,14,8,96,6,scenario_2,7.891035030329306,200,105,62,0,OPTIMAL,True,0.06330108642578125,0.36060853552772576,0.36060853552772576,0.0,2311.0,5361.0,0,2.842170943040401e-14,0.0,0.0,-1.4210854715202004e-14,300.0,0.0001,1,1,0
lands_instance_small_3_1_5,small,10,8,48,14,14,8,96,6,scenario_1,0.8227996868821492,200,105,62,0,OPTIMAL,True,0.042652130126953125,0.03595733970657573,0.03595733970657573,0.0,1106.0,2711.0,0,0.0,0.0,0.0,0.0,300.0,0.0001,1,1,0
lands_instance_med_1_1_1,med,10,15,150,25,25,15,300,10,scenario_1,6.391444817123443,550,251,175,0,OPTIMAL,True,14.67975401878357,0.22200625350353864,0.22200625350353864,0.0,426393.0,1219692.0,0,1.6200374375330284e-12,0.0,0.0,3.865352482534945e-12,300.0,0.0001,1,1,0
lands_instance_med_1_1_2,med,10,15,150,25,25,15,300,10,scenario_1,18.375585118279673,550,251,175,0,OPTIMAL,True,2.804564952850342,0.8464747261478353,0.8464747261478353,0.0,116039.0,192896.0,0,-5.684341886080802e-14,0.0,0.0,0.0,300.0,0.0001,1,1,0
lands_instance_med_1_1_3,med,10,15,150,25,25,15,300,10,scenario_1,33.14559823042782,550,251,175,0,OPTIMAL,True,16.133892059326172,1.4689783510017693,1.4689783510017693,0.0,542933.0,1301474.0,0,1.7053025658242404e-13,0.0,0.0,1.1368683772161603e-13,300.0,0.0001,1,1,0
lands_instance_med_1_1_4,med,10,15,150,25,25,15,300,10,scenario_1,20.71427661943227,550,251,175,0,OPTIMAL,True,4.953459024429321,0.9106758816989885,0.9106758816989885,0.0,172132.0,306067.0,0,-2.842170943040401e-14,0.0,0.0,-2.842170943040401e-14,300.0,0.0001,1,1,0
lands_instance_med_1_1_5,med,10,15,150,25,25,15,300,10,scenario_1,2.6609828670726756,550,251,175,0,OPTIMAL,True,2.6580870151519775,0.11412332823327476,0.11412332823327476,0.0,74513.0,182376.0,0,5.684341886080802e-14,0.0,0.0,5.684341886080802e-14,300.0,0.0001,1,1,0
lands_instance_med_2_1_1,med,10,20,300,35,35,20,600,15,scenario_1,103.82370921648123,1040,441,335,0,TIME_LIMIT,True,300.0002110004425,3.966553704671764,0.0,1.0,3259111.0,11401682.0,0,-1.1368683772161603e-13,0.0,0.0,-3.410605131648481e-13,300.0,0.0001,1,1,0
lands_instance_med_2_1_2,med,10,20,300,35,35,20,600,15,scenario_1,32.76364551067354,1040,441,335,0,TIME_LIMIT,True,300.00018978118896,1.6946584974375476,0.0,1.0,6682922.0,17819121.0,0,1.7053025658242404e-13,0.0,0.0,2.8421709430404007e-13,300.0,0.0001,1,1,0
lands_instance_med_2_1_3,med,10,20,300,35,35,20,600,15,scenario_1,41.3527785458831,1040,441,335,0,TIME_LIMIT,True,300.0001950263977,1.2162468886692752,0.0,1.0,6202162.0,20735136.0,0,-5.684341886080802e-14,0.0,0.0,-5.684341886080802e-14,300.0,0.0001,1,1,0
