label,scenario,demand,probability,x,first_stage_cost,recourse_quantity,shortage,Q_s_x,p_s_Q_s_x,scenario_total_cost,p_s_total_cost
x_star,0,10.0,0.1,80.0,80.0,0.0,0.0,0.0,0.0,80.0,8.0
x_star,1,20.0,0.1,80.0,80.0,0.0,0.0,0.0,0.0,80.0,8.0
x_star,2,30.0,0.1,80.0,80.0,0.0,0.0,0.0,0.0,80.0,8.0
x_star,3,40.0,0.1,80.0,80.0,0.0,0.0,0.0,0.0,80.0,8.0
x_star,4,50.0,0.1,80.0,80.0,0.0,0.0,0.0,0.0,80.0,8.0
x_star,5,60.0,0.1,80.0,80.0,0.0,0.0,0.0,0.0,80.0,8.0
x_star,6,70.0,0.1,80.0,80.0,0.0,0.0,0.0,0.0,80.0,8.0
x_star,7,80.0,0.1,80.0,80.0,0.0,0.0,0.0,0.0,80.0,8.0
x_star,8,90.0,0.1,80.0,80.0,10.0,10.0,50.0,5.0,130.0,13.0
x_star,9,100.0,0.1,80.0,80.0,20.0,20.0,100.0,10.0,180.0,18.0
x_EV,0,10.0,0.1,55.0,55.0,0.0,0.0,0.0,0.0,55.0,5.5
x_EV,1,20.0,0.1,55.0,55.0,0.0,0.0,0.0,0.0,55.0,5.5
x_EV,2,30.0,0.1,55.0,55.0,0.0,0.0,0.0,0.0,55.0,5.5
x_EV,3,40.0,0.1,55.0,55.0,0.0,0.0,0.0,0.0,55.0,5.5
x_EV,4,50.0,0.1,55.0,55.0,0.0,0.0,0.0,0.0,55.0,5.5
x_EV,5,60.0,0.1,55.0,55.0,5.0,5.0,25.0,2.5,80.0,8.0
x_EV,6,70.0,0.1,55.0,55.0,15.0,15.0,75.0,7.5,130.0,13.0
x_EV,7,80.0,0.1,55.0,55.0,25.0,25.0,125.0,12.5,180.0,18.0
x_EV,8,90.0,0.1,55.0,55.0,35.0,35.0,175.0,17.5,230.0,23.0
x_EV,9,100.0,0.1,55.0,55.0,45.0,45.0,225.0,22.5,280.0,28.0
