label,scenario,demand,probability,x,first_stage_cost,recourse_quantity,shortage,Q_s_x,p_s_Q_s_x,scenario_total_cost,p_s_total_cost
x_star,0,10.0,0.1,80.0,80.0,0.0,0.0,0.0,0.0,80.0,8.0
x_star,1,20.0,0.1,80.0,80.0,0.0,0.0,0.0,0.0,80.0,8.0
x_star,2,30.0,0.1,80.0,80.0,0.0,0.0,0.0,0.0,80.0,8.0
x_star,3,40.0,0.1,80.0,80.0,0.0,0.0,0.0,0.0,80.0,8.0
x_star,4,50.0,0.1,80.0,80.0,0.0,0.0,0.0,0.0,80.0,8.0
x_star,5,60.0,0.1,80.0,80.0,0.0,0.0,0.0,0.0,80.0,8.0
x_star,6,70.0,0.1,80.0,80.0,0.0,0.0,0.0,0.0,80.0,8.0
x_star,7,80.0,0.1,80.0,80.0,0.0,0.0,0.0,0.0,80.0,8.0
x_star,8,90.0,0.1,80.0,80.0,10.0,10.0,50.0,5.0,130.0,13.0
x_star,9,100.0,0.1,80.0,80.0,20.0,20.0,100.0,10.0,180.0,18.0
