constraint_name,in_IIS,sense,rhs
rec_s67_edge_0_2_choose_one,0,=,1.0
rec_s67_edge_1_22_choose_one,1,=,1.0
rec_s67_edge_2_1_choose_one,1,=,1.0
rec_s67_edge_3_9_choose_one,1,=,1.0
rec_s67_edge_4_34_choose_one,1,=,1.0
rec_s67_edge_5_0_choose_one,1,=,1.0
rec_s67_edge_6_52_choose_one,1,=,1.0
rec_s67_edge_7_3_choose_one,1,=,1.0
rec_s67_edge_8_10_choose_one,1,=,1.0
rec_s67_edge_9_6_choose_one,1,=,1.0
rec_s67_edge_10_5_choose_one,1,=,1.0
rec_s67_edge_11_8_choose_one,1,=,1.0
rec_s67_edge_12_11_choose_one,0,=,1.0
rec_s67_edge_13_14_choose_one,0,=,1.0
rec_s67_edge_14_12_choose_one,1,=,1.0
rec_s67_edge_15_13_choose_one,1,=,1.0
rec_s67_edge_16_17_choose_one,1,=,1.0
rec_s67_edge_17_38_choose_one,1,=,1.0
rec_s67_edge_18_20_choose_one,1,=,1.0
rec_s67_edge_19_45_choose_one,1,=,1.0
rec_s67_edge_20_16_choose_one,1,=,1.0
rec_s67_edge_21_24_choose_one,1,=,1.0
rec_s67_edge_22_21_choose_one,0,=,1.0
rec_s67_edge_23_46_choose_one,1,=,1.0
rec_s67_edge_24_23_choose_one,1,=,1.0
rec_s67_edge_25_31_choose_one,1,=,1.0
rec_s67_edge_26_27_choose_one,1,=,1.0
rec_s67_edge_27_28_choose_one,1,=,1.0
rec_s67_edge_28_25_choose_one,1,=,1.0
rec_s67_edge_29_7_choose_one,1,=,1.0
rec_s67_edge_30_29_choose_one,1,=,1.0
rec_s67_edge_31_30_choose_one,1,=,1.0
rec_s67_edge_32_40_choose_one,1,=,1.0
rec_s67_edge_33_35_choose_one,1,=,1.0
rec_s67_edge_34_33_choose_one,1,=,1.0
rec_s67_edge_35_32_choose_one,1,=,1.0
rec_s67_edge_36_49_choose_one,1,=,1.0
rec_s67_edge_37_39_choose_one,1,=,1.0
rec_s67_edge_38_15_choose_one,1,=,1.0
rec_s67_edge_39_53_choose_one,1,=,1.0
