variable_name,lower_bound,upper_bound,IIS_lower_bound,IIS_upper_bound,vtype
y_s67_i0_j2_k0,0.0,1.0,0,0,B
y_s67_i0_j2_k1,0.0,1.0,0,0,B
y_s67_i0_j2_k2,0.0,1.0,0,0,B
y_s67_i1_j22_k0,0.0,1.0,0,0,B
y_s67_i1_j22_k1,0.0,1.0,0,0,B
y_s67_i1_j22_k2,0.0,1.0,0,0,B
y_s67_i2_j1_k0,0.0,1.0,0,0,B
y_s67_i2_j1_k1,0.0,1.0,0,0,B
y_s67_i2_j1_k2,0.0,1.0,0,0,B
y_s67_i3_j9_k0,0.0,1.0,0,0,B
y_s67_i3_j9_k1,0.0,1.0,0,0,B
y_s67_i3_j9_k2,0.0,1.0,0,0,B
y_s67_i4_j34_k0,0.0,1.0,0,0,B
y_s67_i4_j34_k1,0.0,1.0,0,0,B
y_s67_i4_j34_k2,0.0,1.0,0,0,B
y_s67_i5_j0_k0,0.0,1.0,0,0,B
y_s67_i5_j0_k1,0.0,1.0,0,0,B
y_s67_i5_j0_k2,0.0,1.0,0,0,B
y_s67_i6_j52_k0,0.0,1.0,0,0,B
y_s67_i6_j52_k1,0.0,1.0,0,0,B
y_s67_i6_j52_k2,0.0,1.0,0,0,B
y_s67_i7_j3_k0,0.0,1.0,0,0,B
y_s67_i7_j3_k1,0.0,1.0,0,0,B
y_s67_i7_j3_k2,0.0,1.0,0,0,B
y_s67_i8_j10_k0,0.0,1.0,0,0,B
y_s67_i8_j10_k1,0.0,1.0,0,0,B
y_s67_i8_j10_k2,0.0,1.0,0,0,B
y_s67_i9_j6_k0,0.0,1.0,0,0,B
y_s67_i9_j6_k1,0.0,1.0,0,0,B
y_s67_i9_j6_k2,0.0,1.0,0,0,B
y_s67_i10_j5_k0,0.0,1.0,0,0,B
y_s67_i10_j5_k1,0.0,1.0,0,0,B
y_s67_i10_j5_k2,0.0,1.0,0,0,B
y_s67_i11_j8_k0,0.0,1.0,0,0,B
y_s67_i11_j8_k1,0.0,1.0,0,0,B
y_s67_i11_j8_k2,0.0,1.0,0,0,B
y_s67_i12_j11_k0,0.0,1.0,0,0,B
y_s67_i12_j11_k1,0.0,1.0,0,0,B
y_s67_i12_j11_k2,0.0,1.0,0,0,B
y_s67_i13_j14_k0,0.0,1.0,0,0,B
y_s67_i13_j14_k1,0.0,1.0,0,0,B
y_s67_i13_j14_k2,0.0,1.0,0,0,B
y_s67_i14_j12_k0,0.0,1.0,0,0,B
y_s67_i14_j12_k1,0.0,1.0,0,0,B
y_s67_i14_j12_k2,0.0,1.0,0,0,B
y_s67_i15_j13_k0,0.0,1.0,0,0,B
y_s67_i15_j13_k1,0.0,1.0,0,0,B
y_s67_i15_j13_k2,0.0,1.0,0,0,B
y_s67_i16_j17_k0,0.0,1.0,0,0,B
y_s67_i16_j17_k1,0.0,1.0,0,0,B
y_s67_i16_j17_k2,0.0,1.0,0,0,B
y_s67_i17_j38_k0,0.0,1.0,0,0,B
y_s67_i17_j38_k1,0.0,1.0,0,0,B
y_s67_i17_j38_k2,0.0,1.0,0,0,B
y_s67_i18_j20_k0,0.0,1.0,0,0,B
y_s67_i18_j20_k1,0.0,1.0,0,0,B
y_s67_i18_j20_k2,0.0,1.0,0,0,B
y_s67_i19_j45_k0,0.0,1.0,0,0,B
y_s67_i19_j45_k1,0.0,1.0,0,0,B
y_s67_i19_j45_k2,0.0,1.0,0,0,B
y_s67_i20_j16_k0,0.0,1.0,0,0,B
y_s67_i20_j16_k1,0.0,1.0,0,0,B
y_s67_i20_j16_k2,0.0,1.0,0,0,B
y_s67_i21_j24_k0,0.0,1.0,0,0,B
y_s67_i21_j24_k1,0.0,1.0,0,0,B
y_s67_i21_j24_k2,0.0,1.0,0,0,B
y_s67_i22_j21_k0,0.0,1.0,0,0,B
y_s67_i22_j21_k1,0.0,1.0,0,0,B
y_s67_i22_j21_k2,0.0,1.0,0,0,B
y_s67_i23_j46_k0,0.0,1.0,0,0,B
y_s67_i23_j46_k1,0.0,1.0,0,0,B
y_s67_i23_j46_k2,0.0,1.0,0,0,B
y_s67_i24_j23_k0,0.0,1.0,0,0,B
y_s67_i24_j23_k1,0.0,1.0,0,0,B
y_s67_i24_j23_k2,0.0,1.0,0,0,B
y_s67_i25_j31_k0,0.0,1.0,0,0,B
y_s67_i25_j31_k1,0.0,1.0,0,0,B
y_s67_i25_j31_k2,0.0,1.0,0,0,B
y_s67_i26_j27_k0,0.0,1.0,0,0,B
y_s67_i26_j27_k1,0.0,1.0,0,0,B
y_s67_i26_j27_k2,0.0,1.0,0,0,B
y_s67_i27_j28_k0,0.0,1.0,0,0,B
y_s67_i27_j28_k1,0.0,1.0,0,0,B
y_s67_i27_j28_k2,0.0,1.0,0,0,B
y_s67_i28_j25_k0,0.0,1.0,0,0,B
y_s67_i28_j25_k1,0.0,1.0,0,0,B
y_s67_i28_j25_k2,0.0,1.0,0,0,B
y_s67_i29_j7_k0,0.0,1.0,0,0,B
y_s67_i29_j7_k1,0.0,1.0,0,0,B
y_s67_i29_j7_k2,0.0,1.0,0,0,B
y_s67_i30_j29_k0,0.0,1.0,0,0,B
y_s67_i30_j29_k1,0.0,1.0,0,0,B
y_s67_i30_j29_k2,0.0,1.0,0,0,B
y_s67_i31_j30_k0,0.0,1.0,0,0,B
y_s67_i31_j30_k1,0.0,1.0,0,0,B
y_s67_i31_j30_k2,0.0,1.0,0,0,B
y_s67_i32_j40_k0,0.0,1.0,0,0,B
y_s67_i32_j40_k1,0.0,1.0,0,0,B
y_s67_i32_j40_k2,0.0,1.0,0,0,B
y_s67_i33_j35_k0,0.0,1.0,0,0,B
y_s67_i33_j35_k1,0.0,1.0,0,0,B
y_s67_i33_j35_k2,0.0,1.0,0,0,B
y_s67_i34_j33_k0,0.0,1.0,0,0,B
y_s67_i34_j33_k1,0.0,1.0,0,0,B
y_s67_i34_j33_k2,0.0,1.0,0,0,B
y_s67_i35_j32_k0,0.0,1.0,0,0,B
y_s67_i35_j32_k1,0.0,1.0,0,0,B
y_s67_i35_j32_k2,0.0,1.0,0,0,B
y_s67_i36_j49_k0,0.0,1.0,0,0,B
y_s67_i36_j49_k1,0.0,1.0,0,0,B
y_s67_i36_j49_k2,0.0,1.0,0,0,B
y_s67_i37_j39_k0,0.0,1.0,0,0,B
y_s67_i37_j39_k1,0.0,1.0,0,0,B
y_s67_i37_j39_k2,0.0,1.0,0,0,B
y_s67_i38_j15_k0,0.0,1.0,0,0,B
y_s67_i38_j15_k1,0.0,1.0,0,0,B
y_s67_i38_j15_k2,0.0,1.0,0,0,B
y_s67_i39_j53_k0,0.0,1.0,0,0,B
y_s67_i39_j53_k1,0.0,1.0,0,0,B
y_s67_i39_j53_k2,0.0,1.0,0,0,B
y_s67_i40_j37_k0,0.0,1.0,0,0,B
y_s67_i40_j37_k1,0.0,1.0,0,0,B
y_s67_i40_j37_k2,0.0,1.0,0,0,B
y_s67_i41_j4_k0,0.0,1.0,0,0,B
