rank,scenario,probability,Delta_s_raw,p_s_Delta_s,cumulative_bad_contribution,C_comp_plus_cumulative,selected_in_min_bad_set
1,67,0.01,9485.0,94.85000000000001,94.85000000000001,-778.12,1
2,80,0.01,7036.0,70.36,165.21,-707.76,1
3,55,0.01,5942.0,59.42,224.63,-648.34,1
4,4,0.01,5834.0,58.34,282.97,-590.0,1
5,5,0.01,5658.0,56.58,339.55,-533.4200000000001,1
6,62,0.01,5395.0,53.95,393.5,-479.47,1
7,78,0.01,4969.0,49.69,443.19,-429.78000000000003,1
8,96,0.01,4780.0,47.800000000000004,490.99,-381.98,1
9,64,0.01,4583.0,45.83,536.82,-336.15,1
10,20,0.01,4487.0,44.87,581.69,-291.28,1
11,51,0.01,4459.0,44.59,626.2800000000001,-246.68999999999994,1
12,61,0.01,4329.0,43.29,669.57,-203.39999999999998,1
13,81,0.01,4303.0,43.03,712.6,-160.37,1
14,9,0.01,4188.0,41.88,754.48,-118.49000000000001,1
15,63,0.01,4135.0,41.35,795.83,-77.13999999999999,1
16,43,0.01,3873.0,38.730000000000004,834.5600000000001,-38.40999999999997,1
17,72,0.01,3866.0,38.660000000000004,873.22,0.25,1
18,28,0.01,3641.0,36.410000000000004,909.63,36.65999999999997,0
19,6,0.01,3590.0,35.9,945.53,72.55999999999995,0
20,12,0.01,3461.0,34.61,980.14,107.16999999999996,0
21,33,0.01,3430.0,34.300000000000004,1014.4399999999999,141.4699999999999,0
22,35,0.01,3298.0,32.980000000000004,1047.4199999999998,174.44999999999982,0
23,84,0.01,3200.0,32.0,1079.4199999999998,206.44999999999982,0
24,25,0.01,3156.0,31.560000000000002,1110.9799999999998,238.00999999999976,0
25,70,0.01,3042.0,30.42,1141.3999999999999,268.42999999999984,0
26,36,0.01,2950.0,29.5,1170.8999999999999,297.92999999999984,0
27,82,0.01,2813.0,28.13,1199.03,326.05999999999995,0
28,91,0.01,2783.0,27.830000000000002,1226.86,353.8899999999999,0
29,31,0.01,2766.0,27.66,1254.52,381.54999999999995,0
30,90,0.01,2722.0,27.22,1281.74,408.77,0
31,24,0.01,2671.0,26.71,1308.45,435.48,0
32,85,0.01,2537.0,25.37,1333.82,460.8499999999999,0
33,74,0.01,2408.0,24.080000000000002,1357.8999999999999,484.92999999999984,0
34,73,0.01,2392.0,23.92,1381.82,508.8499999999999,0
35,19,0.01,2351.0,23.51,1405.33,532.3599999999999,0
36,21,0.01,2267.0,22.67,1428.0,555.03,0
37,68,0.01,2084.0,20.84,1448.84,575.8699999999999,0
38,17,0.01,1999.0,19.990000000000002,1468.83,595.8599999999999,0
39,76,0.01,1959.0,19.59,1488.4199999999998,615.4499999999998,0
40,58,0.01,1953.0,19.53,1507.9499999999998,634.9799999999998,0
41,2,0.01,1830.0,18.3,1526.2499999999998,653.2799999999997,0
42,56,0.01,1770.0,17.7,1543.9499999999998,670.9799999999998,0
43,83,0.01,1748.0,17.48,1561.4299999999998,688.4599999999998,0
44,30,0.01,1635.0,16.35,1577.7799999999997,704.8099999999997,0
45,8,0.01,1567.0,15.67,1593.4499999999998,720.4799999999998,0
46,97,0.01,1565.0,15.65,1609.1,736.1299999999999,0
47,95,0.01,1499.0,14.99,1624.09,751.1199999999999,0
48,13,0.01,1487.0,14.870000000000001,1638.9599999999998,765.9899999999998,0
49,92,0.01,1454.0,14.540000000000001,1653.4999999999998,780.5299999999997,0
50,41,0.01,1428.0,14.280000000000001,1667.7799999999997,794.8099999999997,0
51,100,0.01,1328.0,13.280000000000001,1681.0599999999997,808.0899999999997,0
52,89,0.01,1327.0,13.27,1694.3299999999997,821.3599999999997,0
53,69,0.01,1182.0,11.82,1706.1499999999996,833.1799999999996,0
54,45,0.01,1142.0,11.42,1717.5699999999997,844.5999999999997,0
55,59,0.01,989.0,9.89,1727.4599999999998,854.4899999999998,0
56,87,0.01,988.0,9.88,1737.34,864.3699999999999,0
57,3,0.01,901.0,9.01,1746.35,873.3799999999999,0
58,14,0.01,885.0,8.85,1755.1999999999998,882.2299999999998,0
59,16,0.01,875.0,8.75,1763.9499999999998,890.9799999999998,0
60,47,0.01,804.0,8.040000000000001,1771.9899999999998,899.0199999999998,0
61,34,0.01,803.0,8.03,1780.0199999999998,907.0499999999997,0
62,60,0.01,790.0,7.9,1787.9199999999998,914.9499999999998,0
63,44,0.01,759.0,7.59,1795.5099999999998,922.5399999999997,0
64,79,0.01,728.0,7.28,1802.7899999999997,929.8199999999997,0
65,37,0.01,714.0,7.140000000000001,1809.9299999999998,936.9599999999998,0
66,66,0.01,671.0,6.71,1816.6399999999999,943.6699999999998,0
67,52,0.01,643.0,6.43,1823.07,950.0999999999999,0
68,32,0.01,607.0,6.07,1829.1399999999999,956.1699999999998,0
69,38,0.01,569.0,5.69,1834.83,961.8599999999999,0
70,10,0.01,553.0,5.53,1840.36,967.3899999999999,0
71,77,0.01,522.0,5.22,1845.58,972.6099999999999,0
72,57,0.01,474.0,4.74,1850.32,977.3499999999999,0
73,88,0.01,425.0,4.25,1854.57,981.5999999999999,0
74,71,0.01,408.0,4.08,1858.6499999999999,985.6799999999998,0
75,75,0.01,328.0,3.2800000000000002,1861.9299999999998,988.9599999999998,0
76,23,0.01,252.0,2.52,1864.4499999999998,991.4799999999998,0
77,50,0.01,164.0,1.6400000000000001,1866.09,993.1199999999999,0
