selection_order,scenario,probability,Delta_s_raw,p_s_Delta_s,cumulative_selected_contribution,C_comp_plus_cumulative
1,67,0.01,9485.0,94.85000000000001,94.85000000000001,-778.12
2,80,0.01,7036.0,70.36,165.21,-707.76
3,55,0.01,5942.0,59.42,224.63,-648.34
4,4,0.01,5834.0,58.34,282.97,-590.0
5,5,0.01,5658.0,56.58,339.55,-533.4200000000001
6,62,0.01,5395.0,53.95,393.5,-479.47
7,78,0.01,4969.0,49.69,443.19,-429.78000000000003
8,96,0.01,4780.0,47.800000000000004,490.99,-381.98
9,64,0.01,4583.0,45.83,536.82,-336.15
10,20,0.01,4487.0,44.87,581.69,-291.28
11,51,0.01,4459.0,44.59,626.2800000000001,-246.68999999999994
12,61,0.01,4329.0,43.29,669.57,-203.39999999999998
13,81,0.01,4303.0,43.03,712.6,-160.37
14,9,0.01,4188.0,41.88,754.48,-118.49000000000001
15,63,0.01,4135.0,41.35,795.83,-77.13999999999999
16,43,0.01,3873.0,38.730000000000004,834.5600000000001,-38.40999999999997
17,72,0.01,3866.0,38.660000000000004,873.22,0.25
