scenario,probability,Q_raw_x_star,Q_weighted_x_star,realized_cost_x_star,Q_raw_x_EV,Q_weighted_x_EV,realized_cost_x_EV
1,0.01,-52090.0,-520.9,22120.0,-53194.0,-531.94,20461.0
2,0.01,-51198.0,-511.98,23012.0,-49368.0,-493.68,24287.0
3,0.01,-50504.0,-505.04,23706.0,-49603.0,-496.03000000000003,24052.0
4,0.01,-54819.0,-548.19,19391.0,-48985.0,-489.85,24670.0
5,0.01,-53393.0,-533.9300000000001,20817.0,-47735.0,-477.35,25920.0
6,0.01,-48056.0,-480.56,26154.0,-44466.0,-444.66,29189.0
7,0.01,-49154.0,-491.54,25056.0,-51392.0,-513.92,22263.0
8,0.01,-51309.0,-513.09,22901.0,-49742.0,-497.42,23913.0
9,0.01,-53554.0,-535.54,20656.0,-49366.0,-493.66,24289.0
10,0.01,-49694.0,-496.94,24516.0,-49141.0,-491.41,24514.0
11,0.01,-49846.0,-498.46000000000004,24364.0,-51100.0,-511.0,22555.0
12,0.01,-47818.0,-478.18,26392.0,-44357.0,-443.57,29298.0
13,0.01,-52215.0,-522.15,21995.0,-50728.0,-507.28000000000003,22927.0
14,0.01,-53441.0,-534.41,20769.0,-52556.0,-525.5600000000001,21099.0
15,0.01,-47254.0,-472.54,26956.0,-48871.0,-488.71000000000004,24784.0
16,0.01,-48721.0,-487.21000000000004,25489.0,-47846.0,-478.46000000000004,25809.0
17,0.01,-48605.0,-486.05,25605.0,-46606.0,-466.06,27049.0
18,0.01,-52224.0,-522.24,21986.0,-52236.0,-522.36,21419.0
19,0.01,-52800.0,-528.0,21410.0,-50449.0,-504.49,23206.0
20,0.01,-50408.0,-504.08,23802.0,-45921.0,-459.21000000000004,27734.0
21,0.01,-53878.0,-538.78,20332.0,-51611.0,-516.11,22044.0
22,0.01,-49472.0,-494.72,24738.0,-50029.0,-500.29,23626.0
23,0.01,-48239.0,-482.39,25971.0,-47987.0,-479.87,25668.0
24,0.01,-54768.0,-547.6800000000001,19442.0,-52097.0,-520.97,21558.0
25,0.01,-52386.0,-523.86,21824.0,-49230.0,-492.3,24425.0
26,0.01,-48114.0,-481.14,26096.0,-49896.0,-498.96000000000004,23759.0
