scenario,probability,Q_raw_x_star,Q_raw_x_EV,delta_raw,Q_weighted_x_star,Q_weighted_x_EV,delta_weighted,label
1,0.01,-52090.0,-53194.0,-1104.0,-520.9,-531.94,-11.040000000000077,good
2,0.01,-51198.0,-49368.0,1830.0,-511.98,-493.68,18.30000000000001,bad
3,0.01,-50504.0,-49603.0,901.0,-505.04,-496.03000000000003,9.009999999999991,bad
4,0.01,-54819.0,-48985.0,5834.0,-548.19,-489.85,58.34000000000003,bad
5,0.01,-53393.0,-47735.0,5658.0,-533.9300000000001,-477.35,56.58000000000004,bad
6,0.01,-48056.0,-44466.0,3590.0,-480.56,-444.66,35.89999999999998,bad
7,0.01,-49154.0,-51392.0,-2238.0,-491.54,-513.92,-22.37999999999994,good
8,0.01,-51309.0,-49742.0,1567.0,-513.09,-497.42,15.670000000000016,bad
9,0.01,-53554.0,-49366.0,4188.0,-535.54,-493.66,41.87999999999994,bad
10,0.01,-49694.0,-49141.0,553.0,-496.94,-491.41,5.529999999999973,bad
11,0.01,-49846.0,-51100.0,-1254.0,-498.46000000000004,-511.0,-12.539999999999964,good
12,0.01,-47818.0,-44357.0,3461.0,-478.18,-443.57,34.610000000000014,bad
13,0.01,-52215.0,-50728.0,1487.0,-522.15,-507.28000000000003,14.869999999999948,bad
14,0.01,-53441.0,-52556.0,885.0,-534.41,-525.5600000000001,8.849999999999909,bad
15,0.01,-47254.0,-48871.0,-1617.0,-472.54,-488.71000000000004,-16.170000000000016,good
16,0.01,-48721.0,-47846.0,875.0,-487.21000000000004,-478.46000000000004,8.75,bad
17,0.01,-48605.0,-46606.0,1999.0,-486.05,-466.06,19.99000000000001,bad
18,0.01,-52224.0,-52236.0,-12.0,-522.24,-522.36,-0.12000000000000455,good
19,0.01,-52800.0,-50449.0,2351.0,-528.0,-504.49,23.50999999999999,bad
20,0.01,-50408.0,-45921.0,4487.0,-504.08,-459.21000000000004,44.86999999999995,bad
21,0.01,-53878.0,-51611.0,2267.0,-538.78,-516.11,22.66999999999996,bad
