NAME MPTSPs_50_1
COMMENT 
TYPE MPTSPs
DIMENSION 54
N_PATH 3
EDGE_WEIGHT_TYPE : EXPLICIT
EDGE_DATA_FORMAT : EDGE_LIST
NODE_COORD_SECTION
1 13972.02909365901 13982.061694884402
2 13437.036638235822 13792.65423067852
3 13672.680326078447 13968.708877261386
4 17202.241249039205 14696.263504889848
5 20451.062770290682 16272.699684772444
6 15240.6339774565 14070.932414993755
7 18978.171445791708 15101.714331005678
8 17757.779191511952 14193.284025924904
9 14861.981480042521 15559.968242397494
10 17660.600605943295 18074.310350542415
11 15802.552633341831 15802.603500223706
12 13683.329888947923 15711.765935165293
13 13511.232042295063 15329.392988809674
14 13631.788851674772 18926.91428558594
15 12583.587077052463 17609.397526448985
16 9757.901502285193 18075.20149915944
17 9790.666155992933 16295.228548277106
18 8165.692049928005 16501.743238050574
19 9696.013896187595 12623.279665450733
20 8008.199601397202 11896.81719261089
21 10422.451685378479 12850.687849030155
22 12386.97212071349 10997.711571150609
23 13321.161615614446 12398.027720651358
24 10774.633417247693 10301.261317204579
25 11461.311145633097 10676.258028913244
26 14324.215203495814 11944.822570862798
27 16250.168003375296 8025.607034027832
28 15226.72949370484 8492.605665410614
29 14722.541532504256 10433.351692393815
30 17303.026511796917 12104.081312984967
31 16678.47696877434 12000.217542554989
32 15809.657230900773 12530.503711987218
33 18125.51398087156 23362.616932272747
34 20822.754385642318 18775.960714719702
35 23919.88005041102 19433.190247073955
36 20651.525634466936 20239.385270216673
37 18250.100804504393 8437.9281601591
38 7194.850676574665 25576.69634806927
39 7438.068765005034 17813.38703694639
40 1153.6648144117976 17365.45588634476
41 13014.822973408784 27464.799397070594
42 21338.61142844721 17185.0874873799
43 11513.881153089254 5819.201795702902
44 4523.619759631064 9087.357473884616
45 10623.522412212547 2861.9403668750465
46 8039.979479841517 11359.174252052284
47 11797.081616393236 7825.9314752153405
48 22971.523409724818 13284.620584053724
49 21811.411240988422 7434.062399982516
50 17556.12159055648 8757.775190713914
51 19520.700656198922 3788.7450552047335
52 24453.720449417084 6763.523492320987
53 20908.77037169771 13488.318134924188
54 4509.081568162706 10850.005187272349
EDGE_WEIGHT_SECTION
1 1 0
1 2 312
1 3 141
1 4 1699
1 5 3966
1 6 692
1 7 2418
1 8 2149
1 9 943
1 10 2565
1 11 1504
1 12 986
1 13 844
1 14 1880
1 15 2040
1 16 3069
1 17 2430
1 18 3710
1 19 2004
1 20 3247
1 21 1871
1 22 1667
1 23 989
1 24 2573
1 25 2439
1 26 996
1 27 3275
1 28 2978
1 29 1918
1 30 1941
1 31 1872
1 32 1356
1 33 6039
1 34 4120
1 35 5598
1 36 5010
1 37 3253
1 38 6286
1 39 3853
1 40 6992
1 41 7941
1 42 3342
1 43 4621
1 44 4611
1 45 6029
1 46 3621
1 47 3951
1 48 4842
1 49 5661
1 50 3817
1 51 6609
1 52 6569
1 53 4210
1 54 4527
2 1 312
2 2 0
2 3 167
2 4 1756
2 5 3760
2 6 929
2 7 3050
2 8 2393
2 9 1090
2 10 3253
2 11 1782
2 12 1041
2 13 977
2 14 3002
2 15 1863
2 16 2723
2 17 2693
2 18 3074
2 19 2158
2 20 3079
2 21 1608
2 22 1637
2 23 744
2 24 2312
2 25 2012
2 26 1098
2 27 3239
2 28 2960
2 29 1732
2 30 2416
2 31 1880
2 32 1388
2 33 5242
2 34 4705
2 35 5939
2 36 4958
2 37 3823
2 38 7263
2 39 3865
2 40 6959
2 41 7908
2 42 4153
2 43 4225
2 44 5242
2 45 6014
2 46 3057
2 47 3201
2 48 5132
2 49 5257
2 50 3614
2 51 6228
2 52 5808
2 53 3531
2 54 4622
3 1 141
3 2 167
3 3 0
3 4 1836
3 5 3714
3 6 795
3 7 2976
3 8 2144
3 9 951
3 10 2748
3 11 1411
3 12 950
3 13 834
3 14 2845
3 15 1932
3 16 3261
3 17 2233
3 18 2703
3 19 2508
3 20 3230
3 21 1910
3 22 1939
3 23 826
3 24 2401
3 25 2283
3 26 1253
3 27 3743
3 28 2955
3 29 1851
3 30 2107
3 31 1744
3 32 1447
3 33 5410
3 34 4380
3 35 5719
3 36 4549
3 37 3551
3 38 6721
3 39 3586
3 40 7849
3 41 7305
3 42 4498
3 43 4687
3 44 4986
3 45 5369
3 46 3054
3 47 3336
3 48 5631
3 49 4855
3 50 4272
3 51 5733
3 52 6837
3 53 4230
3 54 5495
4 1 1699
4 2 1756
4 3 1836
4 4 0
4 5 2068
4 6 1154
4 7 958
4 8 427
4 9 1325
4 10 1546
4 11 944
4 12 1753
4 13 2484
4 14 2758
4 15 2817
4 16 3812
4 17 3917
4 18 4402
4 19 4851
4 20 4944
4 21 3424
4 22 3094
4 23 2335
4 24 4325
4 25 3208
4 26 1933
4 27 3998
4 28 3246
4 29 2338
4 30 1322
4 31 1616
4 32 1370
4 33 4149
4 34 2576
4 35 4700
4 36 3904
4 37 3224
4 38 8064
4 39 5492
4 40 9374
4 41 7509
4 42 2243
4 43 4935
4 44 6845
4 45 7407
4 46 5724
4 47 4111
4 48 3151
4 49 4369
4 50 2966
4 51 5931
4 52 5147
4 53 2158
4 54 7223
5 1 3966
5 2 3760
5 3 3714
5 4 2068
5 5 0
5 6 2882
5 7 1025
5 8 1882
5 9 3129
5 10 1583
5 11 2227
5 12 3762
5 13 3327
5 14 3562
5 15 3828
5 16 5333
5 17 5208
5 18 5791
5 19 5950
5 20 6564
5 21 5486
5 22 5799
5 23 4037
5 24 6341
5 25 5014
5 26 3552
5 27 4837
5 28 4989
5 29 4394
5 30 2507
5 31 3127
5 32 3584
5 33 3237
5 34 1377
5 35 2313
5 36 1770
5 37 3937
5 38 8766
5 39 7181
5 40 9355
5 41 7100
5 42 699
5 43 7098
5 44 10248
5 45 8618
5 46 7067
5 47 7749
5 48 2238
5 49 4255
5 50 4106
5 51 5770
5 52 5932
5 53 1332
5 54 9718
6 1 692
6 2 929
6 3 795
6 4 1154
6 5 2882
6 6 0
6 7 2204
6 8 1300
6 9 752
6 10 2461
6 11 838
6 12 1296
6 13 1143
6 14 2943
6 15 2386
6 16 3324
6 17 2986
6 18 4090
6 19 3180
6 20 4419
6 21 2296
6 22 2079
6 23 1406
6 24 2813
6 25 2961
6 26 1353
6 27 3588
6 28 2984
6 29 1906
6 30 1445
6 31 1217
6 32 949
6 33 5287
6 34 3678
6 35 5127
6 36 3559
6 37 3611
6 38 8506
6 39 4338
6 40 7204
6 41 7037
6 42 3563
6 43 4459
6 44 6058
6 45 6812
6 46 3958
6 47 3905
6 48 3918
6 49 5026
6 50 2956
6 51 6068
6 52 6494
6 53 2834
6 54 5850
7 1 2418
7 2 3050
7 3 2976
7 4 958
7 5 1025
7 6 2204
7 7 0
7 8 756
7 9 2229
7 10 1389
7 11 1777
7 12 2776
7 13 2682
7 14 3410
7 15 3201
7 16 5834
7 17 4787
7 18 5703
7 19 4510
7 20 5832
7 21 4104
7 22 4020
7 23 3114
7 24 4550
7 25 4124
7 26 3045
7 27 4396
7 28 4165
7 29 2969
7 30 1692
7 31 1910
7 32 1781
7 33 3470
7 34 2129
7 35 3050
7 36 3084
7 37 3226
7 38 8819
7 39 5891
7 40 8946
7 41 8983
7 42 1609
7 43 6718
7 44 8784
7 45 7828
7 46 6060
7 47 5851
7 48 2516
7 49 3876
7 50 3409
7 51 5614
7 52 5190
7 53 1219
7 54 7501
8 1 2149
8 2 2393
8 3 2144
8 4 427
8 5 1882
8 6 1300
8 7 756
8 8 0
8 9 2106
8 10 2043
8 11 1370
8 12 2732
8 13 2524
8 14 3700
8 15 3461
8 16 5286
8 17 3778
8 18 4770
8 19 4288
8 20 5771
8 21 4045
8 22 3277
8 23 2639
8 24 4041
8 25 3940
8 26 1870
8 27 3302
8 28 3672
8 29 2172
8 30 1087
8 31 1335
8 32 1177
8 33 4328
8 34 2823
8 35 4583
8 36 3464
8 37 2710
8 38 8644
8 39 5372
8 40 9036
8 41 7666
8 42 1930
8 43 5579
8 44 7061
8 45 6640
8 46 4999
8 47 5147
8 48 2708
8 49 4546
8 50 3023
8 51 5850
8 52 4938
8 53 1705
8 54 7498
9 1 943
9 2 1090
9 3 951
9 4 1325
9 5 3129
9 6 752
9 7 2229
9 8 2106
9 9 0
9 10 2482
9 11 658
9 12 528
9 13 762
9 14 1897
9 15 1691
9 16 3129
9 17 3122
9 18 3558
9 19 3340
9 20 4731
9 21 2700
9 22 2543
9 23 1682
9 24 3472
9 25 3029
9 26 1907
9 27 4117
9 28 3878
9 29 2681
9 30 2195
9 31 2232
9 32 1644
9 33 4592
9 34 3248
9 35 4910
9 36 3762
9 37 4702
9 38 6971
9 39 4246
9 40 7298
9 41 7140
9 42 3533
9 43 5355
9 44 5331
9 45 6769
9 46 3985
9 47 5030
9 48 4472
9 49 5975
9 50 4474
9 51 5937
9 52 7181
9 53 3179
9 54 6395
10 1 2565
10 2 3253
10 3 2748
10 4 1546
10 5 1583
10 6 2461
10 7 1389
10 8 2043
10 9 2482
10 10 0
10 11 1498
10 12 2749
10 13 2688
10 14 1920
10 15 2342
10 16 4269
10 17 3908
10 18 4460
10 19 5759
10 20 5627
10 21 3818
10 22 4837
10 23 3556
10 24 5609
10 25 5402
10 26 3605
10 27 4777
10 28 4636
10 29 5128
10 30 3165
10 31 2952
10 32 2879
10 33 2705
10 34 1848
10 35 3566
10 36 2073
10 37 5593
10 38 5976
10 39 5283
10 40 9512
10 41 5596
10 42 1787
10 43 6746
10 44 9168
10 45 8414
10 46 5928
10 47 5757
10 48 3298
10 49 6180
10 50 4920
10 51 7990
10 52 7233
10 53 3233
10 54 8046
11 1 1504
11 2 1782
11 3 1411
11 4 944
11 5 2227
11 6 838
11 7 1777
11 8 1370
11 9 658
11 10 1498
11 11 0
11 12 1150
11 13 1183
11 14 1935
11 15 1862
11 16 3536
11 17 3436
11 18 4021
11 19 3028
11 20 4242
11 21 3012
11 22 3420
11 23 2102
11 24 3747
11 25 3224
11 26 2312
11 27 4512
11 28 3618
11 29 2988
11 30 2009
11 31 2148
11 32 1527
11 33 3961
11 34 3150
11 35 4553
11 36 3221
11 37 4107
11 38 6898
11 39 4370
11 40 8180
11 41 5887
11 42 3450
11 43 5955
11 44 5910
11 45 6953
11 46 4601
11 47 4235
11 48 3957
11 49 6432
11 50 3764
11 51 7180
11 52 6319
11 53 3458
11 54 6544
12 1 986
12 2 1041
12 3 950
12 4 1753
12 5 3762
12 6 1296
12 7 2776
12 8 2732
12 9 528
12 10 2749
12 11 1150
12 12 0
12 13 231
12 14 1509
12 15 1189
12 16 2563
12 17 1908
12 18 3153
12 19 2925
12 20 3649
12 21 2343
12 22 2724
12 23 1700
12 24 3368
12 25 2616
12 26 2128
12 27 4335
12 28 3548
12 29 2911
12 30 2681
12 31 2473
12 32 1935
12 33 4570
12 34 4306
12 35 5153
12 36 4509
12 37 4356
12 38 7133
12 39 3319
12 40 7149
12 41 5968
12 42 4097
12 43 5398
12 44 6430
12 45 6693
12 46 3236
12 47 4566
12 48 4549
12 49 5857
12 50 4738
12 51 7716
12 52 7549
12 53 4127
12 54 5523
13 1 844
13 2 977
13 3 834
13 4 2484
13 5 3327
13 6 1143
13 7 2682
13 8 2524
13 9 762
13 10 2688
13 11 1183
13 12 231
13 13 0
13 14 2353
13 15 1311
13 16 2583
13 17 2034
13 18 2233
13 19 2398
13 20 3733
13 21 2112
13 22 2277
13 23 1552
13 24 2446
13 25 2906
13 26 2321
13 27 3432
13 28 3601
13 29 2685
13 30 2580
13 31 2284
13 32 2146
13 33 4711
13 34 4527
13 35 5985
13 36 4848
