name,domain,lb,ub,fixed,value
x_1_1,NonNegativeReals,0.0,1.7976931348623157e+308,False,
u_1_1,Binary,0.0,1.0,False,
x_2_1,NonNegativeReals,0.0,1.7976931348623157e+308,False,
u_2_1,Binary,0.0,1.0,False,
x_1_2,NonNegativeReals,0.0,1.7976931348623157e+308,False,
u_1_2,Binary,0.0,1.0,False,
x_2_2,NonNegativeReals,0.0,1.7976931348623157e+308,False,
u_2_2,Binary,0.0,1.0,False,
x_1_3,NonNegativeReals,0.0,1.7976931348623157e+308,False,
u_1_3,Binary,0.0,1.0,False,
x_2_3,NonNegativeReals,0.0,1.7976931348623157e+308,False,
u_2_3,Binary,0.0,1.0,False,
y_1_1_1,Binary,0.0,1.0,False,
y_2_1_1,Binary,0.0,1.0,False,
z_1_1,Binary,0.0,1.0,False,
y_1_2_1,Binary,0.0,1.0,False,
y_2_2_1,Binary,0.0,1.0,False,
z_2_1,Binary,0.0,1.0,False,
y_1_3_1,Binary,0.0,1.0,False,
y_2_3_1,Binary,0.0,1.0,False,
z_3_1,Binary,0.0,1.0,False,
y_1_1_2,Binary,0.0,1.0,False,
y_2_1_2,Binary,0.0,1.0,False,
z_1_2,Binary,0.0,1.0,False,
y_1_2_2,Binary,0.0,1.0,False,
y_2_2_2,Binary,0.0,1.0,False,
z_2_2,Binary,0.0,1.0,False,
y_1_3_2,Binary,0.0,1.0,False,
y_2_3_2,Binary,0.0,1.0,False,
z_3_2,Binary,0.0,1.0,False,
y_1_1_3,Binary,0.0,1.0,False,
y_2_1_3,Binary,0.0,1.0,False,
z_1_3,Binary,0.0,1.0,False,
y_1_2_3,Binary,0.0,1.0,False,
y_2_2_3,Binary,0.0,1.0,False,
z_2_3,Binary,0.0,1.0,False,
y_1_3_3,Binary,0.0,1.0,False,
y_2_3_3,Binary,0.0,1.0,False,
z_3_3,Binary,0.0,1.0,False,
