scenario,column_or_rhs,row_or_bounds,value
SCEN1,y_1_1_1,dem_1_1,0.913625
SCEN1,y_1_2_1,dem_1_1,0.628611
SCEN1,y_1_3_1,dem_1_1,0.764073
SCEN1,y_2_1_1,dem_2_1,0.913625
SCEN1,y_2_2_1,dem_2_1,0.628611
SCEN1,y_2_3_1,dem_2_1,0.764073
SCEN1,y_1_1_2,dem_1_2,1.33781
SCEN1,y_1_2_2,dem_1_2,0.795495
SCEN1,y_1_3_2,dem_1_2,1.161867
SCEN1,y_2_1_2,dem_2_2,1.33781
SCEN1,y_2_2_2,dem_2_2,0.795495
SCEN1,y_2_3_2,dem_2_2,1.161867
SCEN1,y_1_1_3,dem_1_3,1.478721
SCEN1,y_1_2_3,dem_1_3,0.570284
SCEN1,y_1_3_3,dem_1_3,0.839165
SCEN1,y_2_1_3,dem_2_3,1.478721
SCEN1,y_2_2_3,dem_2_3,0.570284
SCEN1,y_2_3_3,dem_2_3,0.839165
SCEN2,y_1_1_1,dem_1_1,0.584025
SCEN2,y_1_2_1,dem_1_1,0.705513
SCEN2,y_1_3_1,dem_1_1,0.543886
SCEN2,y_2_1_1,dem_2_1,0.584025
SCEN2,y_2_2_1,dem_2_1,0.705513
SCEN2,y_2_3_1,dem_2_1,0.543886
SCEN2,y_1_1_2,dem_1_2,1.41196
SCEN2,y_1_2_2,dem_1_2,1.321808
SCEN2,y_1_3_2,dem_1_2,1.488116
SCEN2,y_2_1_2,dem_2_2,1.41196
SCEN2,y_2_2_2,dem_2_2,1.321808
SCEN2,y_2_3_2,dem_2_2,1.488116
SCEN2,y_1_1_3,dem_1_3,1.339515
SCEN2,y_1_2_3,dem_1_3,1.180748
SCEN2,y_1_3_3,dem_1_3,1.348907
SCEN2,y_2_1_3,dem_2_3,1.339515
SCEN2,y_2_2_3,dem_2_3,1.180748
SCEN2,y_2_3_3,dem_2_3,1.348907
SCEN3,y_1_1_1,dem_1_1,1.454514
SCEN3,y_1_2_1,dem_1_1,0.804115
SCEN3,y_1_3_1,dem_1_1,0.939755
SCEN3,y_2_1_1,dem_2_1,1.454514
SCEN3,y_2_2_1,dem_2_1,0.804115
SCEN3,y_2_3_1,dem_2_1,0.939755
SCEN3,y_1_1_2,dem_1_2,0.730225
SCEN3,y_1_2_2,dem_1_2,1.01503
SCEN3,y_1_3_2,dem_1_2,0.857229
SCEN3,y_2_1_2,dem_2_2,0.730225
SCEN3,y_2_2_2,dem_2_2,1.01503
SCEN3,y_2_3_2,dem_2_2,0.857229
SCEN3,y_1_1_3,dem_1_3,0.711349
SCEN3,y_1_2_3,dem_1_3,0.873182
SCEN3,y_1_3_3,dem_1_3,1.092487
SCEN3,y_2_1_3,dem_2_3,0.711349
SCEN3,y_2_2_3,dem_2_3,0.873182
SCEN3,y_2_3_3,dem_2_3,1.092487
SCEN4,y_1_1_1,dem_1_1,0.825045
SCEN4,y_1_2_1,dem_1_1,1.428842
SCEN4,y_1_3_1,dem_1_1,0.924165
SCEN4,y_2_1_1,dem_2_1,0.825045
SCEN4,y_2_2_1,dem_2_1,1.428842
SCEN4,y_2_3_1,dem_2_1,0.924165
SCEN4,y_1_1_2,dem_1_2,0.688286
SCEN4,y_1_2_2,dem_1_2,0.533187
SCEN4,y_1_3_2,dem_1_2,1.289421
SCEN4,y_2_1_2,dem_2_2,0.688286
SCEN4,y_2_2_2,dem_2_2,0.533187
SCEN4,y_2_3_2,dem_2_2,1.289421
SCEN4,y_1_1_3,dem_1_3,0.522604
SCEN4,y_1_2_3,dem_1_3,1.38751
SCEN4,y_1_3_3,dem_1_3,1.443516
SCEN4,y_2_1_3,dem_2_3,0.522604
SCEN4,y_2_2_3,dem_2_3,1.38751
SCEN4,y_2_3_3,dem_2_3,1.443516
SCEN5,y_1_1_1,dem_1_1,0.754117
SCEN5,y_1_2_1,dem_1_1,0.622052
SCEN5,y_1_3_1,dem_1_1,1.389864
SCEN5,y_2_1_1,dem_2_1,0.754117
SCEN5,y_2_2_1,dem_2_1,0.622052
SCEN5,y_2_3_1,dem_2_1,1.389864
SCEN5,y_1_1_2,dem_1_2,1.251169
SCEN5,y_1_2_2,dem_1_2,1.457049
SCEN5,y_1_3_2,dem_1_2,0.660622
SCEN5,y_2_1_2,dem_2_2,1.251169
SCEN5,y_2_2_2,dem_2_2,1.457049
SCEN5,y_2_3_2,dem_2_2,0.660622
SCEN5,y_1_1_3,dem_1_3,0.637591
SCEN5,y_1_2_3,dem_1_3,0.504054
SCEN5,y_1_3_3,dem_1_3,0.957179
SCEN5,y_2_1_3,dem_2_3,0.637591
SCEN5,y_2_2_3,dem_2_3,0.504054
SCEN5,y_2_3_3,dem_2_3,0.957179
SCEN6,y_1_1_1,dem_1_1,0.997398
SCEN6,y_1_2_1,dem_1_1,1.090949
SCEN6,y_1_3_1,dem_1_1,1.116511
SCEN6,y_2_1_1,dem_2_1,0.997398
SCEN6,y_2_2_1,dem_2_1,1.090949
SCEN6,y_2_3_1,dem_2_1,1.116511
