name,lower,body,upper,expr
c_1,,x_1_1 - u_1_1,0.0,x_1_1 - u_1_1  <=  0.0
c_2,,x_1_2 - u_1_2,0.0,x_1_2 - u_1_2  <=  0.0
c_3,,x_1_3 - u_1_3,0.0,x_1_3 - u_1_3  <=  0.0
c_4,,x_2_1 - u_2_1,0.0,x_2_1 - u_2_1  <=  0.0
c_5,,x_2_2 - u_2_2,0.0,x_2_2 - u_2_2  <=  0.0
c_6,,x_2_3 - u_2_3,0.0,x_2_3 - u_2_3  <=  0.0
c_13,1.0,y_1_1_1 + y_2_1_1 + z_1_1,1.0,1.0  <=  y_1_1_1 + y_2_1_1 + z_1_1  <=  1.0
c_14,1.0,y_1_1_2 + y_2_1_2 + z_1_2,1.0,1.0  <=  y_1_1_2 + y_2_1_2 + z_1_2  <=  1.0
c_15,1.0,y_1_1_3 + y_2_1_3 + z_1_3,1.0,1.0  <=  y_1_1_3 + y_2_1_3 + z_1_3  <=  1.0
c_16,1.0,y_1_2_1 + y_2_2_1 + z_2_1,1.0,1.0  <=  y_1_2_1 + y_2_2_1 + z_2_1  <=  1.0
c_17,1.0,y_1_2_2 + y_2_2_2 + z_2_2,1.0,1.0  <=  y_1_2_2 + y_2_2_2 + z_2_2  <=  1.0
c_18,1.0,y_1_2_3 + y_2_2_3 + z_2_3,1.0,1.0  <=  y_1_2_3 + y_2_2_3 + z_2_3  <=  1.0
c_19,1.0,y_1_3_1 + y_2_3_1 + z_3_1,1.0,1.0  <=  y_1_3_1 + y_2_3_1 + z_3_1  <=  1.0
c_20,1.0,y_1_3_2 + y_2_3_2 + z_3_2,1.0,1.0  <=  y_1_3_2 + y_2_3_2 + z_3_2  <=  1.0
c_21,1.0,y_1_3_3 + y_2_3_3 + z_3_3,1.0,1.0  <=  y_1_3_3 + y_2_3_3 + z_3_3  <=  1.0
dem_1_1,,- x_1_1 + 0.913625*y_1_1_1 + 0.628611*y_1_2_1 + 0.764073*y_1_3_1,0.0,- x_1_1 + 0.913625*y_1_1_1 + 0.628611*y_1_2_1 + 0.764073*y_1_3_1  <=  -0.0
dem_2_1,,- x_2_1 + 0.913625*y_2_1_1 + 0.628611*y_2_2_1 + 0.764073*y_2_3_1,0.0,- x_2_1 + 0.913625*y_2_1_1 + 0.628611*y_2_2_1 + 0.764073*y_2_3_1  <=  -0.0
dem_1_2,,- x_1_1 - x_1_2 + 1.33781*y_1_1_2 + 0.795495*y_1_2_2 + 1.161867*y_1_3_2,0.0,- x_1_1 - x_1_2 + 1.33781*y_1_1_2 + 0.795495*y_1_2_2 + 1.161867*y_1_3_2  <=  -0.0
dem_2_2,,- x_2_1 - x_2_2 + 1.33781*y_2_1_2 + 0.795495*y_2_2_2 + 1.161867*y_2_3_2,0.0,- x_2_1 - x_2_2 + 1.33781*y_2_1_2 + 0.795495*y_2_2_2 + 1.161867*y_2_3_2  <=  -0.0
dem_1_3,,- x_1_1 - x_1_2 - x_1_3 + 1.478721*y_1_1_3 + 0.570284*y_1_2_3 + 0.839165*y_1_3_3,0.0,- x_1_1 - x_1_2 - x_1_3 + 1.478721*y_1_1_3 + 0.570284*y_1_2_3 + 0.839165*y_1_3_3  <=  -0.0
dem_2_3,,- x_2_1 - x_2_2 - x_2_3 + 1.478721*y_2_1_3 + 0.570284*y_2_2_3 + 0.839165*y_2_3_3,0.0,- x_2_1 - x_2_2 - x_2_3 + 1.478721*y_2_1_3 + 0.570284*y_2_2_3 + 0.839165*y_2_3_3  <=  -0.0
