stage,variable_name
PERIOD1,x_1_1
PERIOD1,u_1_1
PERIOD1,x_2_1
PERIOD1,u_2_1
PERIOD1,x_1_2
PERIOD1,u_1_2
PERIOD1,x_2_2
PERIOD1,u_2_2
PERIOD1,x_1_3
PERIOD1,u_1_3
PERIOD1,x_2_3
PERIOD1,u_2_3
PERIOD2,y_1_1_1
PERIOD2,y_2_1_1
PERIOD2,z_1_1
PERIOD2,y_1_2_1
PERIOD2,y_2_2_1
PERIOD2,z_2_1
PERIOD2,y_1_3_1
PERIOD2,y_2_3_1
PERIOD2,z_3_1
PERIOD2,y_1_1_2
PERIOD2,y_2_1_2
PERIOD2,z_1_2
PERIOD2,y_1_2_2
PERIOD2,y_2_2_2
PERIOD2,z_2_2
PERIOD2,y_1_3_2
PERIOD2,y_2_3_2
PERIOD2,z_3_2
PERIOD2,y_1_1_3
PERIOD2,y_2_1_3
PERIOD2,z_1_3
PERIOD2,y_1_2_3
PERIOD2,y_2_2_3
PERIOD2,z_2_3
PERIOD2,y_1_3_3
PERIOD2,y_2_3_3
PERIOD2,z_3_3
