variable,value
SCEN1.x_1_1,0.9985949999999999
SCEN1.u_1_1,1.0
SCEN1.x_2_1,1.0
SCEN1.u_2_1,1.0
SCEN1.x_1_2,1.0
SCEN1.u_1_2,1.0
SCEN1.x_2_2,0.49557000000000007
SCEN1.u_2_2,1.0
SCEN1.x_1_3,0.8430249999999999
SCEN1.u_1_3,1.0
SCEN1.x_2_3,0.0
SCEN1.u_2_3,0.0
SCEN1.y_1_1_1,1.0
SCEN1.y_2_1_1,0.0
SCEN1.z_1_1,0.0
SCEN1.y_1_2_1,-0.0
SCEN1.y_2_2_1,-0.0
SCEN1.z_2_1,1.0
SCEN1.y_1_3_1,0.0
SCEN1.y_2_3_1,1.0
SCEN1.z_3_1,0.0
SCEN1.y_1_1_2,0.0
SCEN1.y_2_1_2,1.0
SCEN1.z_1_2,0.0
SCEN1.y_1_2_2,1.0
SCEN1.y_2_2_2,0.0
SCEN1.z_2_2,0.0
SCEN1.y_1_3_2,1.0
SCEN1.y_2_3_2,0.0
SCEN1.z_3_2,0.0
SCEN1.y_1_1_3,1.0
SCEN1.y_2_1_3,-0.0
SCEN1.z_1_3,0.0
SCEN1.y_1_2_3,-0.0
SCEN1.y_2_2_3,1.0
SCEN1.z_2_3,0.0
SCEN1.y_1_3_3,-0.0
SCEN1.y_2_3_3,1.0
SCEN1.z_3_3,0.0
SCEN2.x_1_1,0.9985949999999999
SCEN2.u_1_1,1.0
SCEN2.x_2_1,1.0
SCEN2.u_2_1,1.0
SCEN2.x_1_2,1.0
SCEN2.u_1_2,1.0
SCEN2.x_2_2,0.49557000000000007
SCEN2.u_2_2,1.0
SCEN2.x_1_3,0.8430249999999999
SCEN2.u_1_3,1.0
SCEN2.x_2_3,0.0
SCEN2.u_2_3,0.0
SCEN2.y_1_1_1,1.0
SCEN2.y_2_1_1,0.0
SCEN2.z_1_1,0.0
SCEN2.y_1_2_1,0.0
SCEN2.y_2_2_1,0.0
SCEN2.z_2_1,1.0
