scenario,Q_x_EV,Q_x_star,Delta,classification
SCEN1,1985.585568,844.592402,1140.993166,bad
SCEN2,3513.466811,1476.052508,2037.4143029999998,bad
SCEN3,967.564491,966.147059,1.4174319999999625,bad
SCEN4,1579.161123,845.1991310000001,733.961992,bad
SCEN5,1597.3602740000001,968.543658,628.8166160000001,bad
SCEN6,2889.728681,2379.800529,509.92815199999995,bad
SCEN7,3793.589778,3284.056718,509.5330600000002,bad
SCEN8,2269.871545,969.457816,1300.4137289999999,bad
SCEN9,967.253926,966.147059,1.1068669999999656,bad
SCEN10,2992.442204,1749.2545810000001,1243.1876229999998,bad
SCEN11,4527.639433,3284.056718,1243.5827150000005,bad
SCEN12,3793.589778,2653.51077,1140.0790080000002,bad
SCEN13,3278.146093,2379.334152,898.8119409999999,bad
SCEN14,2212.768356,970.2627239999999,1242.505632,bad
SCEN15,2379.334152,2379.334152,0.0,good
SCEN16,1477.3697260000001,966.111805,511.2579210000001,bad
SCEN17,3793.589778,2653.51077,1140.0790080000002,bad
SCEN18,4017.711281,3284.056718,733.654563,bad
SCEN19,1480.168173,845.50656,634.661613,bad
SCEN20,2271.288977,969.457816,1301.831161,bad
SCEN21,2665.037561,1873.134552,791.9030090000001,bad
SCEN22,3278.61247,1752.293163,1526.319307,bad
SCEN23,3052.240515,1751.826786,1300.4137289999999,bad
SCEN24,2380.65137,1869.393449,511.2579210000001,bad
SCEN25,967.836666,965.505076,2.3315900000000056,bad
SCEN26,3388.949408,2653.51077,735.4386380000001,bad
SCEN27,3052.706892,1752.293163,1300.413729,bad
SCEN28,1356.457052,845.50656,510.95049199999994,bad
SCEN29,2106.533496,966.147059,1140.3864370000001,bad
SCEN30,3166.082412,2653.51077,512.5716420000003,bad
SCEN31,1639.425811,1476.052508,163.37330300000008,bad
SCEN32,3284.45181,2656.549352,627.902458,bad
SCEN33,2543.173832,1752.688255,790.4855769999999,bad
SCEN34,1985.585568,845.50656,1140.079008,bad
SCEN35,848.545142,844.592402,3.9527400000000625,bad
SCEN36,1873.816543,1869.7008779999999,4.115665000000035,bad
SCEN37,2392.609294,1596.965182,795.644112,bad
SCEN38,2653.51077,2653.203341,0.30742899999995643,bad
SCEN39,1356.457052,845.1991310000001,511.2579209999999,bad
SCEN40,2663.620129,1872.73946,790.8806689999999,bad
SCEN41,1754.105687,1749.2545810000001,4.851105999999845,bad
SCEN42,2379.800529,1749.2545810000001,630.545948,bad
SCEN43,2544.124887,2379.334152,164.79073500000004,bad
SCEN44,1477.46994,847.630984,629.8389559999999,bad
SCEN45,2882.613434,849.962574,2032.6508599999997,bad
SCEN46,1358.0782020000001,845.50656,512.5716420000001,bad
SCEN47,1748.788204,1747.874046,0.9141580000000431,bad
SCEN48,1869.7008779999999,1868.4792909999999,1.2215869999999995,bad
SCEN49,2261.826223,1752.293163,509.53306,bad
SCEN50,3173.560832,2379.334152,794.2266800000002,bad
SCEN51,2658.361876,2652.596612,5.765264000000116,bad
SCEN52,1359.890726,845.594223,514.296503,bad
SCEN53,3054.124324,1752.293163,1301.8311609999998,bad
SCEN54,4017.711281,2656.944444,1360.7668369999997,bad
SCEN55,2379.233938,1869.7008779999999,509.53306,bad
SCEN56,3011.59241,1872.73946,1138.8529500000002,bad
SCEN57,3786.3614549999998,1752.293163,2034.0682919999997,bad
SCEN58,2269.59937,969.580733,1300.018637,bad
SCEN59,2891.05845,1749.2545810000001,1141.8038689999998,bad
SCEN60,2150.376303,848.545142,1301.831161,bad
SCEN61,2661.060109,2653.51077,7.5493390000001455,bad
SCEN62,2542.7074549999998,1751.826786,790.8806689999997,bad
SCEN63,967.564491,965.8396299999999,1.7248610000000326,bad
SCEN64,3295.890938,2500.246826,795.644112,bad
SCEN65,2374.864449,1476.052508,898.8119410000002,bad
SCEN66,2890.751021,1752.688255,1138.062766,bad
SCEN67,2890.284644,1748.788204,1141.49644,bad
SCEN68,3513.466811,1476.052508,2037.4143029999998,bad
