scenario,probability,Q_x_EV,Q_x_star,Delta,p_Delta,classification
SCEN1,0.005,1985.585568,844.592402,1140.993166,5.70496583,bad
SCEN2,0.005,3513.466811,1476.052508,2037.4143029999998,10.187071515,bad
SCEN3,0.005,967.564491,966.147059,1.4174319999999625,0.007087159999999813,bad
SCEN4,0.005,1579.161123,845.1991310000001,733.961992,3.6698099600000003,bad
SCEN5,0.005,1597.3602740000001,968.543658,628.8166160000001,3.1440830800000006,bad
SCEN6,0.005,2889.728681,2379.800529,509.92815199999995,2.54964076,bad
SCEN7,0.005,3793.589778,3284.056718,509.5330600000002,2.547665300000001,bad
SCEN8,0.005,2269.871545,969.457816,1300.4137289999999,6.502068645,bad
SCEN9,0.005,967.253926,966.147059,1.1068669999999656,0.005534334999999828,bad
SCEN10,0.005,2992.442204,1749.2545810000001,1243.1876229999998,6.215938114999999,bad
SCEN11,0.005,4527.639433,3284.056718,1243.5827150000005,6.2179135750000025,bad
SCEN12,0.005,3793.589778,2653.51077,1140.0790080000002,5.700395040000001,bad
SCEN13,0.005,3278.146093,2379.334152,898.8119409999999,4.494059705,bad
SCEN14,0.005,2212.768356,970.2627239999999,1242.505632,6.212528160000001,bad
SCEN15,0.005,2379.334152,2379.334152,0.0,0.0,good
SCEN16,0.005,1477.3697260000001,966.111805,511.2579210000001,2.556289605000001,bad
SCEN17,0.005,3793.589778,2653.51077,1140.0790080000002,5.700395040000001,bad
SCEN18,0.005,4017.711281,3284.056718,733.654563,3.6682728150000004,bad
SCEN19,0.005,1480.168173,845.50656,634.661613,3.173308065,bad
SCEN20,0.005,2271.288977,969.457816,1301.831161,6.509155805000001,bad
SCEN21,0.005,2665.037561,1873.134552,791.9030090000001,3.9595150450000007,bad
SCEN22,0.005,3278.61247,1752.293163,1526.319307,7.631596535,bad
SCEN23,0.005,3052.240515,1751.826786,1300.4137289999999,6.502068645,bad
SCEN24,0.005,2380.65137,1869.393449,511.2579210000001,2.556289605000001,bad
SCEN25,0.005,967.836666,965.505076,2.3315900000000056,0.011657950000000028,bad
SCEN26,0.005,3388.949408,2653.51077,735.4386380000001,3.6771931900000006,bad
SCEN27,0.005,3052.706892,1752.293163,1300.413729,6.5020686450000005,bad
SCEN28,0.005,1356.457052,845.50656,510.95049199999994,2.5547524599999996,bad
SCEN29,0.005,2106.533496,966.147059,1140.3864370000001,5.701932185,bad
