scenario,termination_condition,Q_value,num_fixed_first_stage_vars
SCEN1,optimal,1985.585568,12
SCEN2,optimal,3513.466811,12
SCEN3,optimal,967.564491,12
SCEN4,optimal,1579.161123,12
SCEN5,optimal,1597.3602740000001,12
SCEN6,optimal,2889.728681,12
SCEN7,optimal,3793.589778,12
SCEN8,optimal,2269.871545,12
SCEN9,optimal,967.253926,12
SCEN10,optimal,2992.442204,12
SCEN11,optimal,4527.639433,12
SCEN12,optimal,3793.589778,12
SCEN13,optimal,3278.146093,12
SCEN14,optimal,2212.768356,12
SCEN15,optimal,2379.334152,12
SCEN16,optimal,1477.3697260000001,12
SCEN17,optimal,3793.589778,12
SCEN18,optimal,4017.711281,12
SCEN19,optimal,1480.168173,12
SCEN20,optimal,2271.288977,12
SCEN21,optimal,2665.037561,12
SCEN22,optimal,3278.61247,12
SCEN23,optimal,3052.240515,12
SCEN24,optimal,2380.65137,12
SCEN25,optimal,967.836666,12
SCEN26,optimal,3388.949408,12
SCEN27,optimal,3052.706892,12
SCEN28,optimal,1356.457052,12
SCEN29,optimal,2106.533496,12
SCEN30,optimal,3166.082412,12
SCEN31,optimal,1639.425811,12
SCEN32,optimal,3284.45181,12
SCEN33,optimal,2543.173832,12
SCEN34,optimal,1985.585568,12
SCEN35,optimal,848.545142,12
SCEN36,optimal,1873.816543,12
SCEN37,optimal,2392.609294,12
SCEN38,optimal,2653.51077,12
SCEN39,optimal,1356.457052,12
SCEN40,optimal,2663.620129,12
SCEN41,optimal,1754.105687,12
SCEN42,optimal,2379.800529,12
SCEN43,optimal,2544.124887,12
SCEN44,optimal,1477.46994,12
SCEN45,optimal,2882.613434,12
SCEN46,optimal,1358.0782020000001,12
SCEN47,optimal,1748.788204,12
SCEN48,optimal,1869.7008779999999,12
SCEN49,optimal,2261.826223,12
SCEN50,optimal,3173.560832,12
SCEN51,optimal,2658.361876,12
SCEN52,optimal,1359.890726,12
SCEN53,optimal,3054.124324,12
SCEN54,optimal,4017.711281,12
SCEN55,optimal,2379.233938,12
SCEN56,optimal,3011.59241,12
SCEN57,optimal,3786.3614549999998,12
SCEN58,optimal,2269.59937,12
SCEN59,optimal,2891.05845,12
SCEN60,optimal,2150.376303,12
SCEN61,optimal,2661.060109,12
SCEN62,optimal,2542.7074549999998,12
SCEN63,optimal,967.564491,12
SCEN64,optimal,3295.890938,12
SCEN65,optimal,2374.864449,12
SCEN66,optimal,2890.751021,12
SCEN67,optimal,2890.284644,12
SCEN68,optimal,3513.466811,12
SCEN69,optimal,3236.080556,12
SCEN70,optimal,2332.131645,12
SCEN71,optimal,2719.240131,12
SCEN72,optimal,3288.172383,12
SCEN73,optimal,2088.694183,12
SCEN74,optimal,970.603073,12
SCEN75,optimal,2500.246826,12
SCEN76,optimal,2262.777278,12
SCEN77,optimal,2384.311286,12
SCEN78,optimal,2667.7357939999997,12
SCEN79,optimal,2380.65137,12
SCEN80,optimal,1987.3980920000001,12
SCEN81,optimal,1477.097551,12
SCEN82,optimal,2501.664258,12
SCEN83,optimal,1640.843243,12
SCEN84,optimal,2992.442204,12
SCEN85,optimal,1750.205636,12
SCEN86,optimal,4537.661129,12
SCEN87,optimal,2657.626435,12
SCEN88,optimal,2391.191862,12
SCEN89,optimal,2900.452747,12
SCEN90,optimal,3011.197318,12
SCEN91,optimal,2889.333589,12
