solution,scenario,probability,Q_s_x,p_s_Q_s_x
x_star,SCEN1,0.005,844.592402,4.22296201
x_star,SCEN2,0.005,1476.052508,7.38026254
x_star,SCEN3,0.005,966.147059,4.830735295
x_star,SCEN4,0.005,845.1991310000001,4.225995655
x_star,SCEN5,0.005,968.543658,4.8427182900000005
x_star,SCEN6,0.005,2379.800529,11.899002645000001
x_star,SCEN7,0.005,3284.056718,16.42028359
x_star,SCEN8,0.005,969.457816,4.84728908
x_star,SCEN9,0.005,966.147059,4.830735295
x_star,SCEN10,0.005,1749.2545810000001,8.746272905000001
x_star,SCEN11,0.005,3284.056718,16.42028359
x_star,SCEN12,0.005,2653.51077,13.267553849999999
x_star,SCEN13,0.005,2379.334152,11.89667076
x_star,SCEN14,0.005,970.2627239999999,4.85131362
x_star,SCEN15,0.005,2379.334152,11.89667076
x_star,SCEN16,0.005,966.111805,4.830559025
x_star,SCEN17,0.005,2653.51077,13.267553849999999
x_star,SCEN18,0.005,3284.056718,16.42028359
x_star,SCEN19,0.005,845.50656,4.2275328000000005
x_star,SCEN20,0.005,969.457816,4.84728908
x_star,SCEN21,0.005,1873.134552,9.36567276
x_star,SCEN22,0.005,1752.293163,8.761465815000001
x_star,SCEN23,0.005,1751.826786,8.75913393
x_star,SCEN24,0.005,1869.393449,9.346967245
x_star,SCEN25,0.005,965.505076,4.82752538
x_star,SCEN26,0.005,2653.51077,13.267553849999999
x_star,SCEN27,0.005,1752.293163,8.761465815000001
x_star,SCEN28,0.005,845.50656,4.2275328000000005
x_star,SCEN29,0.005,966.147059,4.830735295
x_star,SCEN30,0.005,2653.51077,13.267553849999999
x_star,SCEN31,0.005,1476.052508,7.38026254
x_star,SCEN32,0.005,2656.549352,13.28274676
x_star,SCEN33,0.005,1752.688255,8.763441275
x_star,SCEN34,0.005,845.50656,4.2275328000000005
x_star,SCEN35,0.005,844.592402,4.22296201
x_star,SCEN36,0.005,1869.7008779999999,9.34850439
x_star,SCEN37,0.005,1596.965182,7.98482591
x_star,SCEN38,0.005,2653.203341,13.266016705
x_star,SCEN39,0.005,845.1991310000001,4.225995655
x_star,SCEN40,0.005,1872.73946,9.3636973
x_star,SCEN41,0.005,1749.2545810000001,8.746272905000001
x_star,SCEN42,0.005,1749.2545810000001,8.746272905000001
x_star,SCEN43,0.005,2379.334152,11.89667076
x_star,SCEN44,0.005,847.630984,4.23815492
x_star,SCEN45,0.005,849.962574,4.24981287
x_star,SCEN46,0.005,845.50656,4.2275328000000005
x_star,SCEN47,0.005,1747.874046,8.73937023
x_star,SCEN48,0.005,1868.4792909999999,9.342396455
x_star,SCEN49,0.005,1752.293163,8.761465815000001
x_star,SCEN50,0.005,2379.334152,11.89667076
x_star,SCEN51,0.005,2652.596612,13.26298306
x_star,SCEN52,0.005,845.594223,4.227971115000001
x_star,SCEN53,0.005,1752.293163,8.761465815000001
x_star,SCEN54,0.005,2656.944444,13.28472222
x_star,SCEN55,0.005,1869.7008779999999,9.34850439
x_star,SCEN56,0.005,1872.73946,9.3636973
x_star,SCEN57,0.005,1752.293163,8.761465815000001
x_star,SCEN58,0.005,969.580733,4.8479036650000005
x_star,SCEN59,0.005,1749.2545810000001,8.746272905000001
x_star,SCEN60,0.005,848.545142,4.24272571
x_star,SCEN61,0.005,2653.51077,13.267553849999999
x_star,SCEN62,0.005,1751.826786,8.75913393
x_star,SCEN63,0.005,965.8396299999999,4.82919815
x_star,SCEN64,0.005,2500.246826,12.50123413
x_star,SCEN65,0.005,1476.052508,7.38026254
x_star,SCEN66,0.005,1752.688255,8.763441275
x_star,SCEN67,0.005,1748.788204,8.74394102
x_star,SCEN68,0.005,1476.052508,7.38026254
x_star,SCEN69,0.005,2500.246826,12.50123413
x_star,SCEN70,0.005,966.147059,4.830735295
x_star,SCEN71,0.005,845.50656,4.2275328000000005
x_star,SCEN72,0.005,2653.51077,13.267553849999999
x_star,SCEN73,0.005,845.50656,4.2275328000000005
x_star,SCEN74,0.005,966.147059,4.830735295
x_star,SCEN75,0.005,1869.393449,9.346967245
x_star,SCEN76,0.005,1748.788204,8.74394102
x_star,SCEN77,0.005,1749.342244,8.74671122
x_star,SCEN78,0.005,2500.246826,12.50123413
x_star,SCEN79,0.005,1869.393449,9.346967245
x_star,SCEN80,0.005,1476.052508,7.38026254
x_star,SCEN81,0.005,966.147059,4.830735295
x_star,SCEN82,0.005,1869.7008779999999,9.34850439
