scenario,parent,stage,probability,num_modifications
SCEN1,ROOT,PERIOD2,0.005,18
SCEN2,ROOT,PERIOD2,0.005,18
SCEN3,ROOT,PERIOD2,0.005,18
SCEN4,ROOT,PERIOD2,0.005,18
SCEN5,ROOT,PERIOD2,0.005,18
SCEN6,ROOT,PERIOD2,0.005,18
SCEN7,ROOT,PERIOD2,0.005,18
SCEN8,ROOT,PERIOD2,0.005,18
SCEN9,ROOT,PERIOD2,0.005,18
SCEN10,ROOT,PERIOD2,0.005,18
SCEN11,ROOT,PERIOD2,0.005,18
SCEN12,ROOT,PERIOD2,0.005,18
SCEN13,ROOT,PERIOD2,0.005,18
SCEN14,ROOT,PERIOD2,0.005,18
SCEN15,ROOT,PERIOD2,0.005,18
SCEN16,ROOT,PERIOD2,0.005,18
SCEN17,ROOT,PERIOD2,0.005,18
SCEN18,ROOT,PERIOD2,0.005,18
SCEN19,ROOT,PERIOD2,0.005,18
SCEN20,ROOT,PERIOD2,0.005,18
SCEN21,ROOT,PERIOD2,0.005,18
SCEN22,ROOT,PERIOD2,0.005,18
SCEN23,ROOT,PERIOD2,0.005,18
SCEN24,ROOT,PERIOD2,0.005,18
SCEN25,ROOT,PERIOD2,0.005,18
SCEN26,ROOT,PERIOD2,0.005,18
SCEN27,ROOT,PERIOD2,0.005,18
SCEN28,ROOT,PERIOD2,0.005,18
SCEN29,ROOT,PERIOD2,0.005,18
SCEN30,ROOT,PERIOD2,0.005,18
SCEN31,ROOT,PERIOD2,0.005,18
SCEN32,ROOT,PERIOD2,0.005,18
SCEN33,ROOT,PERIOD2,0.005,18
SCEN34,ROOT,PERIOD2,0.005,18
SCEN35,ROOT,PERIOD2,0.005,18
SCEN36,ROOT,PERIOD2,0.005,18
SCEN37,ROOT,PERIOD2,0.005,18
SCEN38,ROOT,PERIOD2,0.005,18
SCEN39,ROOT,PERIOD2,0.005,18
SCEN40,ROOT,PERIOD2,0.005,18
SCEN41,ROOT,PERIOD2,0.005,18
SCEN42,ROOT,PERIOD2,0.005,18
SCEN43,ROOT,PERIOD2,0.005,18
SCEN44,ROOT,PERIOD2,0.005,18
SCEN45,ROOT,PERIOD2,0.005,18
SCEN46,ROOT,PERIOD2,0.005,18
SCEN47,ROOT,PERIOD2,0.005,18
SCEN48,ROOT,PERIOD2,0.005,18
SCEN49,ROOT,PERIOD2,0.005,18
SCEN50,ROOT,PERIOD2,0.005,18
