solution,scenario,probability,Q_s_x,p_s_Q_s_x
x_star,SCEN001,0.1,0.0,0.0
x_star,SCEN002,0.1,0.0,0.0
x_star,SCEN003,0.1,0.0,0.0
x_star,SCEN004,0.1,0.0,0.0
x_star,SCEN005,0.1,0.0,0.0
x_star,SCEN006,0.1,0.0,0.0
x_star,SCEN007,0.1,0.0,0.0
x_star,SCEN008,0.1,0.0,0.0
x_star,SCEN009,0.1,50.0,5.0
x_star,SCEN010,0.1,100.0,10.0
x_EV,SCEN001,0.1,0.0,0.0
x_EV,SCEN002,0.1,0.0,0.0
x_EV,SCEN003,0.1,0.0,0.0
x_EV,SCEN004,0.1,0.0,0.0
x_EV,SCEN005,0.1,0.0,0.0
x_EV,SCEN006,0.1,25.0,2.5
x_EV,SCEN007,0.1,75.0,7.5
x_EV,SCEN008,0.1,125.0,12.5
x_EV,SCEN009,0.1,175.0,17.5
x_EV,SCEN010,0.1,225.0,22.5
