scenario,termination_condition,Q_value,num_fixed_first_stage_vars
SCEN1,optimal,844.592402,12
SCEN2,optimal,1476.052508,12
SCEN3,optimal,966.147059,12
SCEN4,optimal,845.1991310000001,12
SCEN5,optimal,968.543658,12
SCEN6,optimal,2379.800529,12
SCEN7,optimal,3284.056718,12
SCEN8,optimal,969.457816,12
SCEN9,optimal,966.147059,12
SCEN10,optimal,1749.2545810000001,12
SCEN11,optimal,3284.056718,12
SCEN12,optimal,2653.51077,12
SCEN13,optimal,2379.334152,12
SCEN14,optimal,970.2627239999999,12
SCEN15,optimal,2379.334152,12
SCEN16,optimal,966.111805,12
SCEN17,optimal,2653.51077,12
SCEN18,optimal,3284.056718,12
SCEN19,optimal,845.50656,12
SCEN20,optimal,969.457816,12
SCEN21,optimal,1873.134552,12
SCEN22,optimal,1752.293163,12
SCEN23,optimal,1751.826786,12
SCEN24,optimal,1869.393449,12
SCEN25,optimal,965.505076,12
SCEN26,optimal,2653.51077,12
SCEN27,optimal,1752.293163,12
SCEN28,optimal,845.50656,12
SCEN29,optimal,966.147059,12
SCEN30,optimal,2653.51077,12
SCEN31,optimal,1476.052508,12
SCEN32,optimal,2656.549352,12
SCEN33,optimal,1752.688255,12
SCEN34,optimal,845.50656,12
SCEN35,optimal,844.592402,12
SCEN36,optimal,1869.7008779999999,12
SCEN37,optimal,1596.965182,12
SCEN38,optimal,2653.203341,12
SCEN39,optimal,845.1991310000001,12
SCEN40,optimal,1872.73946,12
SCEN41,optimal,1749.2545810000001,12
SCEN42,optimal,1749.2545810000001,12
SCEN43,optimal,2379.334152,12
SCEN44,optimal,847.630984,12
SCEN45,optimal,849.962574,12
SCEN46,optimal,845.50656,12
SCEN47,optimal,1747.874046,12
SCEN48,optimal,1868.4792909999999,12
SCEN49,optimal,1752.293163,12
SCEN50,optimal,2379.334152,12
SCEN51,optimal,2652.596612,12
SCEN52,optimal,845.594223,12
SCEN53,optimal,1752.293163,12
SCEN54,optimal,2656.944444,12
SCEN55,optimal,1869.7008779999999,12
SCEN56,optimal,1872.73946,12
SCEN57,optimal,1752.293163,12
SCEN58,optimal,969.580733,12
SCEN59,optimal,1749.2545810000001,12
SCEN60,optimal,848.545142,12
SCEN61,optimal,2653.51077,12
SCEN62,optimal,1751.826786,12
SCEN63,optimal,965.8396299999999,12
SCEN64,optimal,2500.246826,12
SCEN65,optimal,1476.052508,12
SCEN66,optimal,1752.688255,12
SCEN67,optimal,1748.788204,12
SCEN68,optimal,1476.052508,12
SCEN69,optimal,2500.246826,12
SCEN70,optimal,966.147059,12
SCEN71,optimal,845.50656,12
SCEN72,optimal,2653.51077,12
SCEN73,optimal,845.50656,12
SCEN74,optimal,966.147059,12
SCEN75,optimal,1869.393449,12
SCEN76,optimal,1748.788204,12
SCEN77,optimal,1749.342244,12
SCEN78,optimal,2500.246826,12
SCEN79,optimal,1869.393449,12
SCEN80,optimal,1476.052508,12
SCEN81,optimal,966.147059,12
SCEN82,optimal,1869.7008779999999,12
SCEN83,optimal,1476.052508,12
SCEN84,optimal,1749.2545810000001,12
SCEN85,optimal,1747.566617,12
SCEN86,optimal,2500.246826,12
SCEN87,optimal,2653.51077,12
SCEN88,optimal,1596.965182,12
SCEN89,optimal,1596.693007,12
SCEN90,optimal,1873.134552,12
SCEN91,optimal,1749.2545810000001,12
SCEN92,optimal,1752.688255,12
SCEN93,optimal,1595.778849,12
SCEN94,optimal,1748.788204,12
SCEN95,optimal,2378.886371,12
SCEN96,optimal,1873.134552,12
SCEN97,optimal,1476.052508,12
SCEN98,optimal,1872.73946,12
SCEN99,optimal,2653.51077,12
SCEN100,optimal,2379.800529,12
SCEN101,optimal,1476.052508,12
SCEN102,optimal,1476.052508,12
SCEN103,optimal,2378.419994,12
SCEN104,optimal,966.147059,12
SCEN105,optimal,969.1856409999999,12
SCEN106,optimal,2379.800529,12
SCEN107,optimal,2500.246826,12
SCEN108,optimal,1749.2545810000001,12
SCEN109,optimal,848.545142,12
SCEN110,optimal,1869.7008779999999,12
SCEN111,optimal,1476.052508,12
SCEN112,optimal,1596.693007,12
SCEN113,optimal,1596.051024,12
SCEN114,optimal,965.232901,12
SCEN115,optimal,2378.419994,12
SCEN116,optimal,845.50656,12
SCEN117,optimal,1476.052508,12
SCEN118,optimal,1748.947152,12
SCEN119,optimal,847.630984,12
SCEN120,optimal,845.50656,12
SCEN121,optimal,966.419234,12
SCEN122,optimal,966.147059,12
SCEN123,optimal,966.111805,12
SCEN124,optimal,2380.751584,12
SCEN125,optimal,844.680065,12
SCEN126,optimal,1596.965182,12
SCEN127,optimal,2653.51077,12
SCEN128,optimal,1596.965182,12
SCEN129,optimal,1869.7008779999999,12
SCEN130,optimal,966.111805,12
SCEN131,optimal,966.419234,12
SCEN132,optimal,1748.788204,12
SCEN133,optimal,1873.134552,12
SCEN134,optimal,1869.7008779999999,12
SCEN135,optimal,848.545142,12
SCEN136,optimal,1869.7008779999999,12
SCEN137,optimal,969.1856409999999,12
SCEN138,optimal,967.564491,12
SCEN139,optimal,1748.788204,12
SCEN140,optimal,2653.203341,12
SCEN141,optimal,969.580733,12
SCEN142,optimal,1596.965182,12
SCEN143,optimal,845.1991310000001,12
SCEN144,optimal,1869.7008779999999,12
SCEN145,optimal,2653.51077,12
SCEN146,optimal,2656.549352,12
SCEN147,optimal,1748.788204,12
SCEN148,optimal,966.147059,12
SCEN149,optimal,1748.788204,12
SCEN150,optimal,1869.7008779999999,12
SCEN151,optimal,1869.7008779999999,12
SCEN152,optimal,1476.052508,12
SCEN153,optimal,848.940234,12
SCEN154,optimal,2653.51077,12
SCEN155,optimal,2653.51077,12
SCEN156,optimal,968.271483,12
SCEN157,optimal,970.875248,12
SCEN158,optimal,1476.052508,12
SCEN159,optimal,969.852908,12
SCEN160,optimal,845.50656,12
SCEN161,optimal,845.50656,12
SCEN162,optimal,1749.2545810000001,12
SCEN163,optimal,1476.052508,12
SCEN164,optimal,1476.052508,12
SCEN165,optimal,966.419234,12
SCEN166,optimal,1749.2545810000001,12
SCEN167,optimal,1476.052508,12
SCEN168,optimal,1476.4476,12
SCEN169,optimal,848.940234,12
