scenario_id,infl[3],objective,cost_def,bal[1],bal[2],bal[3],bal[4],bal[5],bal[6],bal[7],bal[8],bal[9],bal[10],min_req[1],min_req[2],min_req[3],min_req[4],min_req[5],min_req[6],min_req[7],min_req[8],min_req[9],min_req[10]
1,1.0427425359198847,3466.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1.0981984015159927,3466.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.0946827983757936,3466.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1.111546216952987,3466.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1.0799022643266276,3466.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1.04184475219592,3466.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1.0486075918445208,3466.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1.097803563851927,3466.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1.1014201520988598,3466.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1.0252056380344658,3466.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
